#abs/rel,interp,NumPerPoint,NumSegs,,
abs,lin,2,1,Hz,dB
#segment0,,,,,
#type,numPoints,,,,
860000000,-27.63558472,,,,
870000000,-27.73429024,,,,
880000000,-27.83299576,,,,
890000000,-27.93170128,,,,
900000000,-28.0204068,,,,
910000000,-28.11911232,,,,
920000000,-28.20781784,,,,
930000000,-28.30652336,,,,
940000000,-28.40522888,,,,
950000000,-28.4839344,,,,
960000000,-28.58263992,,,,
970000000,-28.67134544,,,,
980000000,-28.75005096,,,,
990000000,-28.83875648,,,,
1000000000,-28.927462,,,,
1010000000,-29.00616752,,,,
1020000000,-29.09487304,,,,
1030000000,-29.18357856,,,,
1040000000,-29.26228408,,,,
1050000000,-29.3409896,,,,
1060000000,-29.42969512,,,,
1070000000,-29.49840064,,,,
1080000000,-29.58710616,,,,
1090000000,-29.66581168,,,,
1100000000,-29.7445172,,,,
1110000000,-29.82322272,,,,
1120000000,-29.90192824,,,,
1130000000,-29.98063376,,,,
1140000000,-30.04933928,,,,
1150000000,-30.1180448,,,,
1160000000,-30.19675032,,,,
1170000000,-30.26545584,,,,
1180000000,-30.34416136,,,,
1190000000,-30.41286688,,,,
1200000000,-30.4815724,,,,
1210000000,-30.55027792,,,,
1220000000,-30.62898344,,,,
1230000000,-30.69768896,,,,
1240000000,-30.76639448,,,,
1250000000,-30.8351,,,,
1260000000,-30.90380552,,,,
1270000000,-30.97251104,,,,
1280000000,-31.04121656,,,,
1290000000,-31.09992208,,,,
1300000000,-31.1686276,,,,
1310000000,-31.23733312,,,,
1320000000,-31.29603864,,,,
1330000000,-31.35474416,,,,
1340000000,-31.42344968,,,,
1350000000,-31.4821552,,,,
1360000000,-31.55086072,,,,
1370000000,-31.60956624,,,,
1380000000,-31.67827176,,,,
1390000000,-31.73697728,,,,
1400000000,-31.7956828,,,,
1410000000,-31.85438832,,,,
1420000000,-31.91309384,,,,
1430000000,-31.98179936,,,,
1440000000,-32.03050488,,,,
1450000000,-32.0992104,,,,
1460000000,-32.15791592,,,,
1470000000,-32.20662144,,,,
1480000000,-32.26532696,,,,
1490000000,-32.32403248,,,,
1500000000,-32.382738,,,,
1510000000,-32.44144352,,,,
1520000000,-32.50014904,,,,
1530000000,-32.55885456,,,,
1540000000,-32.60756008,,,,
1550000000,-32.6562656,,,,
1560000000,-32.72497112,,,,
1570000000,-32.77367664,,,,
1580000000,-32.82238216,,,,
1590000000,-32.88108768,,,,
1600000000,-32.9397932,,,,
1610000000,-32.98849872,,,,
1620000000,-33.03720424,,,,
1630000000,-33.09590976,,,,
1640000000,-33.14461528,,,,
1650000000,-33.1933208,,,,
1660000000,-33.24202632,,,,
1670000000,-33.29073184,,,,
1680000000,-33.34943736,,,,
1690000000,-33.39814288,,,,
1700000000,-33.4468484,,,,
1710000000,-33.49555392,,,,
1720000000,-33.54425944,,,,
1730000000,-33.59296496,,,,
1740000000,-33.64167048,,,,
1750000000,-33.690376,,,,
1760000000,-33.73908152,,,,
1770000000,-33.78778704,,,,
1780000000,-33.83649256,,,,
1790000000,-33.88519808,,,,
1800000000,-33.9239036,,,,
1810000000,-33.98260912,,,,
1820000000,-34.02131464,,,,
1830000000,-34.07002016,,,,
1840000000,-34.11872568,,,,
1850000000,-34.1574312,,,,
1860000000,-34.20613672,,,,
1870000000,-34.25484224,,,,
1880000000,-34.29354776,,,,
1890000000,-34.34225328,,,,
1900000000,-34.3809588,,,,
1910000000,-34.42966432,,,,
1920000000,-34.46836984,,,,
1930000000,-34.51707536,,,,
1940000000,-34.56578088,,,,
1950000000,-34.6044864,,,,
1960000000,-34.64319192,,,,
1970000000,-34.69189744,,,,
1980000000,-34.73060296,,,,
1990000000,-34.77930848,,,,
2000000000,-34.818014,,,,
2010000000,-34.85671952,,,,
2020000000,-34.89542504,,,,
2030000000,-34.94413056,,,,
2040000000,-34.98283608,,,,
2050000000,-35.0215416,,,,
2060000000,-35.07024712,,,,
2070000000,-35.10895264,,,,
2080000000,-35.14765816,,,,
2090000000,-35.19636368,,,,
2100000000,-35.2250692,,,,
